Date,Confirmed Cases,Recovered Cases,Deaths,Rt,DT
2020-08-06,249651,143824,3305,1.4,62.0
2020-08-07,252502,145583,3333,1.43,62.0
2020-08-08,255397,147371,3360,1.36,63.0
2020-08-09,258322,149177,3388,1.27,63.0
2020-08-10,261277,151002,3416,1.2,63.0
2020-08-11,264264,152846,3444,1.16,63.0
2020-08-12,267281,154709,3472,1.13,63.0
2020-08-13,270329,156592,3501,1.11,63.0
2020-08-14,273409,158494,3531,1.1,63.0
2020-08-15,276521,160416,3560,1.09,63.0
2020-08-16,279665,162358,3590,1.08,63.0
2020-08-17,282842,164320,3620,1.08,63.0
2020-08-18,286052,166303,3650,1.08,63.0
2020-08-19,289295,168306,3681,1.08,63.0
