Date,ML,Low_90,High_90
2020-04-03,0.0,0.0,10.81
2020-04-04,4.09,0.9,6.7
2020-04-05,4.14,2.05,5.91
2020-04-06,4.19,2.7,5.46
2020-04-07,3.89,2.79,4.91
2020-04-08,3.41,2.48,4.22
2020-04-09,3.1,2.34,3.8200000000000003
2020-04-10,2.85,2.18,3.48
2020-04-11,2.7,2.07,3.24
2020-04-12,2.61,2.06,3.12
2020-04-13,2.58,2.05,3.0300000000000002
2020-04-14,2.48,2.0100000000000002,2.91
2020-04-15,2.35,1.92,2.7600000000000002
2020-04-16,2.14,1.71,2.5100000000000002
2020-04-17,2.02,1.6,2.37
2020-04-18,1.9100000000000001,1.51,2.25
2020-04-19,1.81,1.42,2.14
2020-04-20,1.69,1.31,2.0100000000000002
2020-04-21,1.6,1.25,1.93
2020-04-22,1.42,1.07,1.74
2020-04-23,1.28,0.91,1.58
2020-04-24,1.16,0.8,1.47
2020-04-25,1.16,0.8,1.47
2020-04-26,1.26,0.92,1.58
2020-04-27,1.36,1.02,1.67
2020-04-28,1.41,1.06,1.7
2020-04-29,1.42,1.1,1.72
2020-04-30,1.35,1.03,1.6400000000000001
2020-05-01,1.28,0.9400000000000001,1.55
2020-05-02,1.28,0.96,1.56
2020-05-03,1.32,1.01,1.6
2020-05-04,1.35,1.05,1.6300000000000001
2020-05-05,1.32,1.02,1.59
2020-05-06,1.22,0.91,1.48
2020-05-07,1.1500000000000001,0.86,1.42
2020-05-08,1.17,0.88,1.44
2020-05-09,1.24,0.93,1.49
2020-05-10,1.4000000000000001,1.09,1.6400000000000001
2020-05-11,1.49,1.2,1.73
2020-05-12,1.51,1.22,1.74
2020-05-13,1.41,1.12,1.6300000000000001
2020-05-14,1.31,1.03,1.53
2020-05-15,1.3,1.05,1.54
2020-05-16,1.31,1.04,1.53
2020-05-17,1.3800000000000001,1.11,1.59
2020-05-18,1.47,1.21,1.68
2020-05-19,1.48,1.24,1.69
2020-05-20,1.5,1.26,1.7
2020-05-21,1.37,1.1500000000000001,1.58
2020-05-22,1.29,1.06,1.49
2020-05-23,1.1400000000000001,0.9,1.33
2020-05-24,0.98,0.74,1.17
2020-05-25,0.9400000000000001,0.7000000000000001,1.1300000000000001
2020-05-26,1.09,0.85,1.28
2020-05-27,1.19,0.9500000000000001,1.3800000000000001
2020-05-28,1.42,1.19,1.61
2020-05-29,1.46,1.25,1.6500000000000001
2020-05-30,1.55,1.34,1.73
2020-05-31,1.48,1.27,1.6500000000000001
2020-06-01,1.36,1.17,1.54
2020-06-02,1.28,1.07,1.44
2020-06-03,1.23,1.02,1.3900000000000001
2020-06-04,1.11,0.92,1.28
2020-06-05,1.08,0.89,1.25
2020-06-06,1.09,0.89,1.25
2020-06-07,1.16,0.96,1.32
2020-06-08,1.23,1.02,1.3800000000000001
2020-06-09,1.26,1.07,1.42
2020-06-10,1.22,1.02,1.37
2020-06-11,1.1500000000000001,0.97,1.31
2020-06-12,1.06,0.88,1.22
2020-06-13,1.06,0.87,1.21
2020-06-14,1.1400000000000001,0.9500000000000001,1.29
2020-06-15,1.24,1.07,1.4000000000000001
2020-06-16,1.23,1.05,1.3800000000000001
2020-06-17,1.18,0.99,1.32
2020-06-18,1.04,0.86,1.19
2020-06-19,0.9400000000000001,0.75,1.08
2020-06-20,0.87,0.6900000000000001,1.02
2020-06-21,0.9,0.73,1.06
2020-06-22,1.02,0.84,1.17
2020-06-23,1.12,0.93,1.26
2020-06-24,1.1300000000000001,0.9400000000000001,1.27
2020-06-25,1.12,0.9500000000000001,1.27
2020-06-26,1.12,0.9400000000000001,1.26
2020-06-27,1.08,0.9,1.22
2020-06-28,1.05,0.87,1.19
2020-06-29,1.04,0.86,1.18
2020-06-30,0.97,0.79,1.11
2020-07-01,0.92,0.74,1.06
2020-07-02,0.78,0.59,0.92
2020-07-03,0.7000000000000001,0.52,0.85
2020-07-04,0.68,0.49,0.8300000000000001
2020-07-05,0.77,0.58,0.92
2020-07-06,0.88,0.71,1.05
2020-07-07,1.01,0.8300000000000001,1.17
2020-07-08,0.99,0.81,1.1500000000000001
2020-07-09,0.93,0.75,1.09
2020-07-10,0.84,0.65,1.0
2020-07-11,0.85,0.66,1.01
2020-07-12,0.9500000000000001,0.76,1.11
2020-07-13,1.03,0.84,1.19
2020-07-14,1.11,0.91,1.26
2020-07-15,1.05,0.85,1.2
2020-07-16,0.91,0.72,1.07
2020-07-17,0.8200000000000001,0.63,0.98
2020-07-18,0.8300000000000001,0.62,0.98
2020-07-19,0.86,0.66,1.02
2020-07-20,0.99,0.79,1.1500000000000001
2020-07-21,0.99,0.79,1.1500000000000001
2020-07-22,0.96,0.76,1.12
2020-07-23,0.88,0.68,1.04
2020-07-24,0.8200000000000001,0.61,0.98
2020-07-25,0.87,0.66,1.03
2020-07-26,1.01,0.8,1.17
2020-07-27,1.1,0.89,1.26
2020-07-28,1.16,0.96,1.32
2020-07-29,1.06,0.86,1.22
2020-07-30,0.77,0.58,0.9400000000000001
2020-07-31,0.43,0.22,0.6
2020-08-01,0.2,0.0,0.36
2020-08-02,0.26,0.04,0.44
2020-08-03,0.71,0.48,0.9
2020-08-04,1.1300000000000001,0.91,1.32
2020-08-05,1.49,1.26,1.6600000000000001
2020-08-06,1.7,1.5,1.8800000000000001
